name,label
RXTEST-00134,Hydrocodone/acetaminophen
RXTEST-00135,Morphine ER
RXTEST-00136,Fentanyl patch
RXTEST-00137,Warfarin
RXTEST-00138,Apixaban
RXTEST-00139,Rivaroxaban
RXTEST-00140,Vitamin D3
RXTEST-00141,Vitamin B12
RXTEST-00142,Folic acid
RXTEST-00143,Calcium carbonate
RXTEST-00144,Multivitamin
RXTEST-00145,Docusate
RXTEST-00146,Senna
RXTEST-00147,Polyethylene glycol
RXTEST-00148,Loperamide
RXTEST-00149,Cetirizine
RXTEST-00150,Loratadine
RXTEST-00151,Diphenhydramine
RXTEST-00152,Albuterol
RXTEST-00153,Fluticasone/salmeterol
RXTEST-00154,Montelukast
RXTEST-00155,Prednisone (general)
RXTEST-00156,Allopurinol
RXTEST-00157,Colchicine
RXTEST-00158,Ondansetron
RXTEST-00159,Metoclopramide
RXTEST-00160,Meclizine
RXTEST-00161,Sumatriptan
RXTEST-00162,Topiramate
RXTEST-00163,Levetiracetam
RXTEST-00164,Phenytoin
RXTEST-00165,Carprofen (canine)
RXTEST-00166,Meloxicam (veterinary)
RXTEST-00167,Gabapentin (veterinary)
RXTEST-00168,Trazodone (veterinary)
RXTEST-00169,Tramadol (veterinary)
RXTEST-00170,Prednisolone (veterinary)
RXTEST-00171,Amoxicillin/clavulanate (veterinary)
RXTEST-00172,Cephalexin (veterinary)
RXTEST-00173,Enrofloxacin (veterinary)
RXTEST-00174,Metronidazole (veterinary)
RXTEST-00175,Furosemide (veterinary)
RXTEST-00176,Pimobendan
RXTEST-00177,Doxycycline (veterinary)
