name,label
RXTEST-00182,Imatinib
RXTEST-00183,Dasatinib
RXTEST-00184,Nilotinib
RXTEST-00185,Erlotinib
RXTEST-00186,Gefitinib
RXTEST-00187,Osimertinib
RXTEST-00188,Sunitinib
RXTEST-00189,Sorafenib
RXTEST-00190,Pazopanib
RXTEST-00191,Lenvatinib
RXTEST-00192,Regorafenib
RXTEST-00193,Palbociclib
RXTEST-00194,Ribociclib
RXTEST-00195,Abemaciclib
RXTEST-00196,Olaparib
RXTEST-00197,Niraparib
